timestamp,TC_ASRControlSts,BLCActive,TC_VDCShiftInterferenceValidData,TC_VDCShiftInterference,MasterCylinderPressureValidData,MasterCylinderPressure,CommandedSilenceRequest,ERMActive,RollsModeAct,HillHolderActive,TTCActive,HBAActive,PrefillActive
1589449620.0156221,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449620.0259068,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449620.0356236,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.0459085,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.0557675,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.0659626,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.0765276,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.0869749,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449620.0956178,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.1061506,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.116329,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.1270704,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.136779,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.1470656,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449620.1556182,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.165901,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.175612,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.1859274,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.1956098,0,0,0,0,0,14.5,0,0,0,0,0,0,0
1589449620.2047963,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.215608,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.225899,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.2356074,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.2458947,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.2556078,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.2659023,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.2756114,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.2858965,0,0,0,0,0,14.75,0,0,0,0,0,0,0
1589449620.295611,0,0,0,0,0,14.5,0,0,0,0,0,0,0
