timestamp,BatteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBSFailSts,BCMSAMFailSts
1588751268.82664,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751268.926722,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.026667,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.226598,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.126598,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.326778,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.426686,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.526609,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.626608,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.729183,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.8266,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751269.926863,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.026642,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.126588,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.226586,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.326597,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.426717,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.726605,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.526746,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.626665,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.826607,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751270.929701,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.026609,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.126741,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.326604,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.226671,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.426666,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.529733,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.626607,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.727016,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.826668,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751271.92667,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.126595,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.226598,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.32653,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.026608,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.426685,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.526524,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.626516,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.726512,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.826514,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751272.926604,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751273.029776,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751273.127239,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751273.226506,4.0,0,10.6,14.8,-250.0,-30,0,0
1588751273.326492,4.0,0,10.6,14.8,-250.0,-30,0,0
